"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ADXL345","1","ADXL345","","Excluded from BOM","","footprints:ADXL345_header",""
"BATTERY1","1","LiPO Pads","","Excluded from BOM","","footprints:Battery_pads",""
"BT1","1","LiPO 3.7V 1200 mAh","","Excluded from BOM","Excluded from board","","~"
"C1,C2","2","10u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C3","1","0.1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"ESP32","1","TinyS3_Symbol","","Excluded from BOM","","footprints:TinyS3D_headers",""
"LCD1","1","ST7789V","","Excluded from BOM","","footprints:LCD_header",""
"R1","1","100k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R2,R4,R5,R6,R7,R8","6","220","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R3","1","1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"SENSOR1","1","SEN-11574","","Excluded from BOM","","footprints:Heart_headers",""
"SWITCHES1","1","switch3","","Excluded from BOM","","footprints:Buttons_header",""
